,Gaceta,Tipo de Cambio,Precio Referencia Internacional,Precio Referencia Internacional en colones,Otros Ingresos Prorrateados,Asignación Subsidio Pescadores,Asignación subsidio Política Sectorial,Subsidio Pescadores,Subsidio Política Sectorial,Diferencial de precios,Impuesto Único,Canon,Margen de operación de Recope,Rendimiento sobre Base Tarifaria,Precio en terminal sin impuesto,Precio en terminal con impuesto,Precio final sin punto fijo Peddlers,Margen Estaciones Terrestres,Margen Estaciones Aéreas,Flete estaciones de servicio,Margen Envasador,Precio final en estaciones de servicio,Margen Distribuidor y Agencias,Margen Detallista,Precio gas por litro en detallistas
Gaceta,1.0,0.062451888814155906,0.059303650786748534,0.06111507530824498,-0.01360459291901812,-0.0072054442564819,-0.02175561746086506,0.007912630449800331,0.015657984628070182,0.01890051388111491,0.0004877457583578801,-0.08188995061981962,0.03876609418318649,-0.01653080272811051,0.058400319701952724,0.04556096433038856,0.027897771221565185,-0.006775519241125666,-0.0022643708890486263,-0.003943464187562149,0.0027365693874838834,0.001085866528386201,0.002736569387483829,0.002736569387483892,0.009807666485909045
Tipo de Cambio,0.062451888814155906,1.0,0.1007107982956856,0.21646267783002765,-0.4471310373743611,0.32415933247461953,0.2631933947909808,-0.1017020478974939,-0.2515273286034101,-0.4491022125883917,0.1782911753727171,0.39630458086843695,0.5270425872049596,0.48142345016373245,0.4448029898370356,0.41139187138310884,0.11259367768587954,0.18226091470955097,0.09698100537904689,0.16388024945207072,0.1041610909648742,0.12735591499220736,0.10416109096487461,0.10416109096487386,0.11511150748612468
Precio Referencia Internacional,0.059303650786748534,0.1007107982956856,1.0,0.9847423689881052,-0.04799645996374403,0.0660979145560916,-0.06571549772871181,-0.04328799563822916,0.26147100235108256,-0.05133853412231582,0.19558844383236518,-0.24103252027066607,0.41614588655516,-0.3633880669965347,0.4409237981382576,0.4126028613725177,0.13023362466232663,0.059918540634101194,0.18678966943559913,0.17760802219124883,-0.2032763143672469,0.2174343514164221,-0.20327631436724736,-0.20327631436724833,-0.1700666148008495
Precio Referencia Internacional en colones,0.06111507530824498,0.21646267783002765,0.9847423689881052,1.0,-0.1273277419526619,0.11444879112571106,-0.01902998202884621,-0.05925779655415986,0.22484120325454116,-0.11032236532437881,0.22136238967644534,-0.16774928749071044,0.4716962644858684,-0.28381659143950183,0.4716667410428717,0.4457469627495793,0.12635615182228294,0.07656769417944964,0.20904524225768742,0.193477807585737,-0.19062883804182038,0.23288474456870417,-0.1906288380418208,-0.19062883804181976,-0.15784412751392346
Otros Ingresos Prorrateados,-0.01360459291901812,-0.4471310373743611,-0.04799645996374403,-0.1273277419526619,1.0,-0.3575996238196541,-0.375479449789848,-0.14029277400890625,0.34782683777973705,0.18057572395766236,-0.1510548214030676,-0.5333998892062873,-0.2824724913053643,-0.5457214507633501,0.05911070236074951,-0.013235159096680181,-0.02442461548035256,-0.15271837964392188,-0.0635565144454496,-0.09876750670352408,-0.05435695528122865,-0.05650702215888004,-0.05435695528122845,-0.05435695528122826,-0.07358814879732709
Asignación Subsidio Pescadores,-0.0072054442564819,0.32415933247461953,0.0660979145560916,0.11444879112571106,-0.3575996238196541,1.0,0.3963972020786022,0.16458841924974235,-0.20242684481908405,-0.28120034137176764,0.31301487993432325,0.36253552548036816,0.32676571836841567,0.36366110478234615,0.09828939058017723,0.19430203179973074,0.21987414912174236,0.30880737960365867,0.17672193283333676,0.3081568311656372,0.03305729286632606,0.29636901230553053,0.033057292866326075,0.03305729286632584,0.04295328830952526
Asignación subsidio Política Sectorial,-0.02175561746086506,0.2631933947909808,-0.06571549772871181,-0.01902998202884621,-0.375479449789848,0.3963972020786022,1.0,0.11080845856091998,0.1625193393060539,-0.21051110597837805,0.5239534351851636,0.425427784246859,0.048150284629304346,0.43240864338300666,0.24656266861006879,0.38702782698619886,0.32860380115385585,0.4433955095295089,0.20399782374537795,0.46768695184774817,-0.11467801897375378,0.5048318555011244,-0.11467801897375444,-0.11467801897375476,-0.10466739261609645
Subsidio Pescadores,0.007912630449800331,-0.1017020478974939,-0.04328799563822916,-0.05925779655415986,-0.14029277400890625,0.16458841924974235,0.11080845856091998,1.0,-0.09969515274072933,0.038972205520852975,0.18399195124330606,0.18743680429477055,0.005834708937548714,0.19257585202907054,-0.05654761337351181,0.02703237436281995,0.1774430563555738,0.09213740206179838,0.04578640003699413,0.09501667695306187,0.059272745281783376,0.1222473786142344,0.05927274528178374,0.05927274528178393,0.05449633822138172
Subsidio Política Sectorial,0.015657984628070182,-0.2515273286034101,0.26147100235108256,0.22484120325454116,0.34782683777973705,-0.20242684481908405,0.1625193393060539,-0.09969515274072933,1.0,0.11735825325455168,0.1925632540397131,-0.37716598970737353,-0.23192244614877391,-0.36927037955762226,0.2876420019320868,0.2970729161723722,0.15496354962213205,-0.02491230809144796,0.11685216583185336,0.17968940794184388,-0.44791195542726614,0.17196600466652975,-0.4479119554272638,-0.44791195542726703,-0.38890581506822325
Diferencial de precios,0.01890051388111491,-0.4491022125883917,-0.05133853412231582,-0.11032236532437881,0.18057572395766236,-0.28120034137176764,-0.21051110597837805,0.038972205520852975,0.11735825325455168,1.0,-0.13342868450326,-0.24438402773486162,-0.4556942736005293,-0.2829255231345309,-0.2139483206350883,-0.21234403629928972,-0.007997772335791747,-0.1642612991084854,-0.10024328751901414,-0.1637658610577032,-0.08028606730954499,-0.07180116142219592,-0.08028606730954532,-0.08028606730954486,-0.07513810856803295
Impuesto Único,0.0004877457583578801,0.1782911753727171,0.19558844383236518,0.22136238967644534,-0.1510548214030676,0.31301487993432325,0.5239534351851636,0.18399195124330606,0.1925632540397131,-0.13342868450326,1.0,0.20112651433037926,0.2439560208571051,0.2644251369094463,0.4454121703682302,0.7290963474160786,0.3904410197815103,0.5095496062177833,0.44378971604296585,0.5940352677363904,-0.11906495167700949,0.8313137393372568,-0.11906495167701044,-0.11906495167701063,-0.1031121756843229
Canon,-0.08188995061981962,0.39630458086843695,-0.24103252027066607,-0.16774928749071044,-0.5333998892062873,0.36253552548036816,0.425427784246859,0.18743680429477055,-0.37716598970737353,-0.24438402773486162,0.20112651433037926,1.0,0.19499460648578637,0.6125764978774457,0.03257527630406871,0.10265562851519479,0.038760864650579964,0.19095730159181712,0.07396161196720458,0.10175482052544219,0.11267835977386736,0.12564716179834376,0.11267835977386803,0.11267835977386721,0.09267397618706749
Margen de operación de Recope,0.03876609418318649,0.5270425872049596,0.41614588655516,0.4716962644858684,-0.2824724913053643,0.32676571836841567,0.048150284629304346,0.005834708937548714,-0.23192244614877391,-0.4556942736005293,0.2439560208571051,0.19499460648578637,1.0,0.3178239580699177,0.47482849455426646,0.450442175478298,0.018279753432068568,0.08146646718814592,0.38209608632727077,0.15071004806084093,-0.01435581543710992,0.2294104385060003,-0.014355815437109884,-0.014355815437109771,0.006501528230124201
Rendimiento sobre Base Tarifaria,-0.01653080272811051,0.48142345016373245,-0.3633880669965347,-0.28381659143950183,-0.5457214507633501,0.36366110478234615,0.43240864338300666,0.19257585202907054,-0.36927037955762226,-0.2829255231345309,0.2644251369094463,0.6125764978774457,0.3178239580699177,1.0,0.20407830133892352,0.2511005062844976,0.11494662298218661,0.15416761604987514,0.2223172071328689,0.05316448394231154,0.06974991899159601,0.25280206024505963,0.06974991899159644,0.06974991899159502,0.04348133546370677
Precio en terminal sin impuesto,0.058400319701952724,0.4448029898370356,0.4409237981382576,0.4716667410428717,0.05911070236074951,0.09828939058017723,0.24656266861006879,-0.05654761337351181,0.2876420019320868,-0.2139483206350883,0.4454121703682302,0.03257527630406871,0.47482849455426646,0.20407830133892352,1.0,0.9328916616055457,0.2554466056922665,0.14311716020938858,0.4068871098887873,0.25196745012700683,-0.2711202475174374,0.5251312741636532,-0.27112024751743447,-0.2711202475174365,-0.25942191714766905
